Sem. Cat.,EN,NT,Audio,Speaker,Source,Ques. / Notes,Sub Sem. Cat.,original spelling,Entry #,Page #,CR,see,Literal Meaning,Speaker 1,Speaker 2
body parts,biceps,-tsántthíʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,arm,udezrun,96,40,CR14,,,Tommy McGinty,Johnson Edwards
body parts,bone ,-tthánʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,utsántthíʼ,97,40,,,,Tommy McGinty,Johnson Edwards
body parts,brains,-tthíyę́ʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,head,utthʼánʼ,98,40,,,,Tommy McGinty,Johnson Edwards
body parts,breast,-chʼók,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),has to be possessed by woman?,torso,utthéyénʼ,99,40,,,,Tommy McGinty,Johnson Edwards
body parts,nipple,-chʼók tthíʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),has to be possessed by woman?,torso,utʼók,100,40,CR15,,,Tommy McGinty,Johnson Edwards
body parts,nipple,-máʼ tthíʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),relates to motherʼs milk?,torso,utʼók tthíʼ,101,40,CR15,,,Tommy McGinty,Johnson Edwards
body parts,breastbone,-chʼók tthánʼ,,,Mary Alfred,,torso,umáʼ tthíʼ,new ,,,,,Mary Alfred,
body parts,breastbone,-yuntthánʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,torso,uyuntthʼán,102,40,CR16,,,Tommy McGinty,Johnson Edwards
body parts,breastbone,-zhuntthánʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,torso,uzhuntthʼánʼ,104,40,CR16,,,Tommy McGinty,Johnson Edwards
body parts,calf muscle,-tsʼóʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,leg,utsʼóʼ,105,40,,,,Tommy McGinty,Johnson Edwards
body parts,cheeks,-métthánʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,head,umétthánʼ,106,40,CR17,,,Tommy McGinty,Johnson Edwards
body parts,cheeks,-ninmbóʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,head,uninmbóʼ,107,40,CR17,,,Tommy McGinty,Johnson Edwards
body parts,chest,-dzechínʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,torso,udzechínʼ,108,40,,,,Tommy McGinty,Johnson Edwards
body parts,chest,-dzedhyaw,,,Mary Alfred,,torso,uyédéʼ,new,,,,,Mary Alfred,
body parts,chin ,-yédéʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,head,udzák,109,40,,,,Tommy McGinty,Johnson Edwards
body parts,ear ,-dzák,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,head,undáák,111,41,,,,Tommy McGinty,Johnson Edwards
body parts,eye,-ndáák,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,head,unelúnʼ,112,41,,,,Tommy McGinty,Johnson Edwards
body parts,eyebrow ,-nelų́ʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,head,utsʼélrúnʼ,113,41,CR18,,,Tommy McGinty,Johnson Edwards
body parts,eyebrow ,-tsʼélrų́ʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,head,undáák yéʼ,114,41,CR18,,,Tommy McGinty,Johnson Edwards
body parts,eyelash ,-ndáák yéʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,head,undáák naghóyéʼ,115,41,CR19,,,Tommy McGinty,Johnson Edwards
body parts,eyelash ,-ndáák naghóyéʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),Mary Alfred says it could also be ʼeyebrowʼ,head,undáák zúnʼ,116,41,CR19,,,Tommy McGinty,Johnson Edwards
body parts,pupil of eye ,-ndáák zúnʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,head,unínʼ,117,41,,,,Tommy McGinty,Johnson Edwards
body parts,face,-nį́nʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,head,ukʼe,118,41,,,,Tommy McGinty,Johnson Edwards
body parts,fat ,-kʼe,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,,ulatthʼóʼ,119,41,,,,Tommy McGinty,Johnson Edwards
body parts,fat (adjective),netthän,,,Mary Alfred,,,ulatsawa,new,,,,,Mary Alfred,
body parts,skinny (adjective),tsaangän,,,Mary Alfred,,,ulatthʼóʼ cho,new,,,,,Mary Alfred,
body parts,fingers,-latthʼóʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,hand,ulagánʼ,120,41,CR?,,,Tommy McGinty,Johnson Edwards
body parts,little finger ,-latsawa,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,hand,utthánʼ,123,41,CR?,,,Tommy McGinty,Johnson Edwards
body parts,middle finger,-latthʼóʼ cho,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,hand,utʼíngyánʼ,124,41,CR?,,,Tommy McGinty,Johnson Edwards
body parts,fingernails,-lagánʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,hand,ukíʼ,125,41,,,,Tommy McGinty,Johnson Edwards
body parts,flesh,-tthän,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),can refer to animals?,organ,ukentlʼéʼ,126,41,CR20,,,Tommy McGinty,Johnson Edwards
body parts,flesh ,-tʼíngyánʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),did the diacritics work correctly here?,organ,uketlʼaak ,127,41,CR20,,,Tommy McGinty,Johnson Edwards
body parts,foot,-kíʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,foot,uketlʼa,128,41,CR?,,,Tommy McGinty,Johnson Edwards
body parts,heel ,-kentlʼéʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,foot,ukentʼaak ,129,41,CR?,,,Tommy McGinty,Johnson Edwards
body parts,sole,-kítlʼaak ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,foot,utthʼyánʼ,130,41,CR21,,,Tommy McGinty,Johnson Edwards
body parts,sole,-kítlʼa,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,foot,utsʼat,131,41,CR21,,,Tommy McGinty,Johnson Edwards
body parts,top of foot ,-kítʼa,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,foot,utsʼataan,132,41,,,,Tommy McGinty,Johnson Edwards
body parts,forearm ,-tthʼyánʼ,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,arm,utlʼóʼ,133,41,,,,Tommy McGinty,Johnson Edwards
body parts,forehead,-tsʼat,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,head,ughutthánʼ,134,41,CR22,,,Tommy McGinty,Johnson Edwards
body parts,forehead,-tsʼatąą,,,Tommy McGinty and Johnson Edwards (Selkirk Indian Language Noun Dictionary 1977),,head,utsʼik,135,41,CR22,,,Tommy McGinty,Johnson Edwards
